,Player,POS,ADP,Rank,FPTS
0,Le'Veon Bell,RB,1.0,47.0,111.2
1,Adrian Peterson,RB,2.0,2.0,260.7
2,Antonio Brown,WR,3.0,1.0,382.2
3,Jamaal Charles,RB,4.0,51.0,101.1
4,Eddie Lacy,RB,5.0,32.0,140.6
5,Marshawn Lynch,RB,6.0,61.0,82.7
6,Julio Jones,WR,7.0,2.0,369.1
7,Dez Bryant,WR,8.0,81.0,89.1
8,Rob Gronkowski,TE,9.0,1.0,255.6
9,Odell Beckham Jr.,WR,10.0,5.0,319.3
10,C.J. Anderson,RB,11.0,31.0,141.3
11,Demaryius Thomas,WR,12.0,11.0,267.4
12,Matt Forte,RB,13.0,7.0,214.7
13,Calvin Johnson,WR,14.0,12.0,261.4
14,DeMarco Murray,RB,15.0,15.0,184.4
15,Jeremy Hill,RB,16.0,20.0,170.3
16,A.J. Green,WR,17.0,8.0,273.7
17,Andrew Luck,QB,18.0,28.0,130.8
18,Randall Cobb,WR,19.0,26.0,202.9
19,LeSean McCoy,RB,20.0,19.0,178.7
20,Aaron Rodgers,QB,21.0,7.0,301.3
21,Justin Forsett,RB,22.0,41.0,122.4
22,T.Y. Hilton,WR,23.0,22.0,211.4
23,Alshon Jeffery,WR,24.0,42.0,158.7
24,Brandin Cooks,WR,25.0,13.0,253.6
25,Mike Evans,WR,26.0,23.0,210.6
26,Lamar Miller,RB,27.0,5.0,231.9
27,Frank Gore,RB,28.0,14.0,193.4
28,DeAndre Hopkins,WR,29.0,4.0,331.1
29,Jimmy Graham,TE,30.0,20.0,120.5
30,Jordan Matthews,WR,31.0,17.0,230.7
31,Jordan Matthews,WR,31.0,119.0,0.0
32,Mark Ingram II,RB,32.0,11.0,203.4
33,Emmanuel Sanders,WR,33.0,19.0,224.4
34,Melvin Gordon III,RB,34.0,48.0,108.3
35,Latavius Murray,RB,35.0,10.0,204.8
36,Alfred Morris,RB,36.0,53.0,96.6
37,Carlos Hyde,RB,37.0,62.0,81.3
38,Andre Ellington,RB,38.0,68.0,74.7
39,Andre Johnson,WR,39.0,58.0,115.3
40,Amari Cooper,WR,40.0,21.0,212.7
41,Golden Tate,WR,41.0,24.0,209.4
42,Julian Edelman,WR,42.0,38.0,172.5
43,Arian Foster,RB,43.0,67.0,77.0
44,Ameer Abdullah,RB,44.0,43.0,117.0
45,Keenan Allen,WR,45.0,41.0,161.5
46,Joseph Randle,RB,46.0,69.0,74.1
47,Jeremy Maclin,WR,47.0,15.0,243.2
48,Jonathan Stewart,RB,48.0,24.0,162.8
49,Greg Olsen,TE,49.0,5.0,227.4
50,Jarvis Landry,WR,50.0,9.0,269.4
51,Travis Kelce,TE,51.0,8.0,189.5
52,Peyton Manning,QB,52.0,34.0,91.3
53,Drew Brees,QB,53.0,6.0,304.3
54,Sammy Watkins,WR,54.0,20.0,218.8
55,T.J. Yeldon,RB,55.0,27.0,155.9
56,C.J. Spiller,RB,56.0,63.0,81.1
57,Brandon Marshall,WR,57.0,3.0,339.2
58,Doug Martin,RB,58.0,4.0,232.3
59,Russell Wilson,QB,59.0,3.0,336.3
60,Ben Roethlisberger,QB,60.0,20.0,228.3
61,Todd Gurley II,RB,61.0,9.0,208.6
62,Allen Robinson II,WR,62.0,6.0,304.0
63,Davante Adams,WR,63.0,66.0,106.3
64,Martellus Bennett,TE,64.0,22.0,114.9
65,DeSean Jackson,WR,65.0,68.0,104.8
66,Giovani Bernard,RB,66.0,16.0,181.2
67,Martavis Bryant,WR,67.0,39.0,170.2
68,Chris Ivory,RB,68.0,12.0,202.7
69,Nelson Agholor,WR,69.0,101.0,55.3
70,Vincent Jackson,WR,70.0,64.0,107.3
71,Matt Ryan,QB,71.0,19.0,233.9
72,Joique Bell,RB,72.0,50.0,105.7
73,Charles Johnson,WR,73.0,149.0,21.7
74,LeGarrette Blount,RB,74.0,40.0,122.6
75,Shane Vereen,RB,75.0,26.0,158.4
76,Tevin Coleman,RB,76.0,85.0,42.6
77,Rashad Jennings,RB,77.0,22.0,164.9
78,Mike Wallace,WR,78.0,74.0,98.9
79,Tom Brady,QB,79.0,2.0,344.7
80,Tony Romo,QB,80.0,42.0,40.6
81,Matthew Stafford,QB,81.0,9.0,290.7
82,John Brown,WR,82.0,25.0,207.5
83,Ryan Tannehill,QB,83.0,17.0,258.2
84,Isaiah Crowell,RB,84.0,33.0,137.8
85,Jordan Cameron,TE,85.0,27.0,91.6
86,Larry Fitzgerald,WR,86.0,7.0,280.5
87,Roddy White,WR,87.0,73.0,99.6
88,Eric Decker,WR,88.0,14.0,252.7
89,Steve Smith,WR,89.0,53.0,131.0
90,Jason Witten,TE,90.0,10.0,164.3
91,Ryan Mathews,RB,91.0,37.0,124.5
92,Eli Manning,QB,92.0,10.0,287.5
93,Devonta Freeman,RB,93.0,1.0,316.4
94,Tre Mason,RB,94.0,77.0,51.5
95,Victor Cruz,WR,95.0,0.0,0.0
96,Bishop Sankey,RB,96.0,75.0,57.2
97,Anquan Boldin,WR,97.0,40.0,169.9
98,Darren McFadden,RB,98.0,13.0,195.7
99,Kendall Wright,WR,99.0,75.0,96.5
100,Alfred Blue,RB,100.0,46.0,111.7
