,Player,POS,ADP,Rank,FPTS
0,David Johnson,RB,1.0,115.0,13.0
1,Le'Veon Bell,RB,2.0,2.0,341.6
2,Antonio Brown,WR,3.0,1.0,310.3
3,Julio Jones,WR,4.0,7.0,251.9
4,Odell Beckham Jr.,WR,5.0,82.0,74.0
5,LeSean McCoy,RB,6.0,7.0,263.6
6,Mike Evans,WR,7.0,17.0,203.1
7,A.J. Green,WR,8.0,10.0,226.8
8,Devonta Freeman,RB,9.0,13.0,200.2
9,Melvin Gordon III,RB,10.0,5.0,288.1
10,Jordy Nelson,WR,11.0,46.0,137.2
11,Michael Thomas,WR,12.0,6.0,258.5
12,Jordan Howard,RB,13.0,14.0,199.7
13,DeMarco Murray,RB,14.0,20.0,171.5
14,Jay Ajayi,RB,15.0,36.0,135.1
15,Ezekiel Elliott,RB,16.0,12.0,203.2
16,Amari Cooper,WR,17.0,36.0,158.4
17,Todd Gurley II,RB,18.0,1.0,383.3
18,Brandin Cooks,WR,19.0,15.0,221.2
19,Rob Gronkowski,TE,20.0,2.0,227.4
20,Dez Bryant,WR,21.0,24.0,186.4
21,Aaron Rodgers,QB,22.0,29.0,129.5
22,Doug Baldwin,WR,23.0,13.0,223.3
23,Leonard Fournette,RB,24.0,9.0,230.2
24,T.Y. Hilton,WR,25.0,27.0,175.6
25,Christian McCaffrey,RB,26.0,10.0,228.6
26,DeAndre Hopkins,WR,27.0,2.0,309.8
27,Demaryius Thomas,WR,28.0,16.0,205.9
28,Lamar Miller,RB,29.0,16.0,193.5
29,Tom Brady,QB,30.0,3.0,295.9
30,Keenan Allen,WR,31.0,3.0,278.2
31,Terrelle Pryor Sr.,WR,32.0,104.0,50.0
32,Isaiah Crowell,RB,33.0,31.0,143.5
33,Dalvin Cook,RB,34.0,72.0,65.4
34,Marshawn Lynch,RB,35.0,24.0,164.2
35,Travis Kelce,TE,36.0,1.0,233.5
36,Alshon Jeffery,WR,37.0,20.0,195.9
37,Kareem Hunt,RB,38.0,4.0,295.2
38,Michael Crabtree,WR,39.0,30.0,171.8
39,Carlos Hyde,RB,40.0,8.0,233.8
40,Davante Adams,WR,41.0,14.0,222.5
41,Ty Montgomery,RB,42.0,52.0,91.6
42,Ty Montgomery,RB,42.0,224.0,0.0
43,Drew Brees,QB,43.0,9.0,262.4
44,Joe Mixon,RB,44.0,34.0,141.3
45,Golden Tate,WR,45.0,12.0,224.5
46,Allen Robinson II,WR,46.0,189.0,2.7
47,Larry Fitzgerald,WR,47.0,4.0,261.4
48,Greg Olsen,TE,48.0,50.0,42.1
49,Tyreek Hill,WR,49.0,9.0,239.2
50,Jordan Reed,TE,50.0,36.0,60.1
51,Kelvin Benjamin,WR,51.0,47.0,135.2
52,Kelvin Benjamin,WR,51.0,112.0,0.0
53,Martavis Bryant,WR,52.0,49.0,132.5
54,Jarvis Landry,WR,53.0,5.0,260.0
55,Mark Ingram II,RB,54.0,6.0,278.0
56,Matt Ryan,QB,55.0,15.0,228.1
57,Stefon Diggs,WR,56.0,19.0,198.2
58,Jimmy Graham,TE,57.0,6.0,171.0
59,Bilal Powell,RB,58.0,29.0,145.2
60,Sammy Watkins,WR,59.0,41.0,146.3
61,Emmanuel Sanders,WR,60.0,60.0,114.5
62,C.J. Anderson,RB,61.0,18.0,175.1
63,DeVante Parker,WR,62.0,50.0,130.0
64,Russell Wilson,QB,63.0,1.0,347.8
65,Jamison Crowder,WR,64.0,33.0,160.3
66,Ameer Abdullah,RB,65.0,40.0,124.4
67,Brandon Marshall,WR,66.0,124.0,33.4
68,Danny Woodhead,RB,67.0,74.0,58.6
69,Pierre Garcon,WR,68.0,75.0,90.0
70,Tevin Coleman,RB,69.0,22.0,167.7
71,Kyle Rudolph,TE,70.0,8.0,158.2
72,Adrian Peterson,RB,71.0,62.0,78.9
73,Doug Martin,RB,72.0,64.0,76.0
74,Mike Gillislee,RB,73.0,69.0,68.8
