,Rank,Player
0,1.0,Saquon Barkley
1,2.0,Christian McCaffrey
2,3.0,Alvin Kamara
3,4.0,Ezekiel Elliott
4,5.0,DeAndre Hopkins
5,6.0,David Johnson
6,7.0,Le'Veon Bell
7,8.0,Davante Adams
8,9.0,James Conner
9,10.0,Julio Jones
10,11.0,Michael Thomas
11,12.0,Odell Beckham Jr.
12,13.0,Todd Gurley II
13,14.0,JuJu Smith-Schuster
14,15.0,Travis Kelce
15,16.0,Tyreek Hill
16,17.0,Nick Chubb
17,18.0,Dalvin Cook
18,19.0,Joe Mixon
19,20.0,Patrick Mahomes II
20,21.0,Antonio Brown
21,22.0,Mike Evans
22,23.0,Adam Thielen
23,24.0,Keenan Allen
24,25.0,Leonard Fournette
25,26.0,George Kittle
26,27.0,Zach Ertz
27,28.0,Kerryon Johnson
28,29.0,Devonta Freeman
29,30.0,Amari Cooper
30,31.0,Stefon Diggs
31,32.0,Aaron Jones
32,33.0,Josh Jacobs
33,34.0,Damien Williams
34,35.0,Julian Edelman
35,36.0,Chris Carson 
36,37.0,Derrick Henry
37,38.0,Brandin Cooks
38,39.0,T.Y. Hilton
39,40.0,Robert Woods
40,41.0,Marlon Mack
41,42.0,Melvin Gordon III
42,43.0,Deshaun Watson
43,44.0,Kenny Golladay
44,45.0,Mark Ingram II
45,46.0,David Montgomery
46,47.0,Chris Godwin
47,48.0,Tyler Lockett
48,49.0,Sony Michel
49,50.0,Cooper Kupp
50,51.0,Aaron Rodgers
51,52.0,James White
52,53.0,Phillip Lindsay
53,54.0,Tyler Boyd
54,55.0,Evan Engram
55,56.0,O.J. Howard
56,57.0,Calvin Ridley
57,58.0,Baker Mayfield
58,59.0,Mike Williams
59,60.0,A.J. Green
60,61.0,Hunter Henry
61,62.0,DJ Moore
62,63.0,Jarvis Landry
63,64.0,Matt Ryan
64,65.0,Alshon Jeffery 
65,66.0,Tarik Cohen
66,67.0,Tevin Coleman
67,68.0,Austin Ekeler
68,69.0,Jared Cook
69,70.0,Allen Robinson II
70,71.0,Miles Sanders
71,72.0,Josh Gordon
72,73.0,Kenyan Drake
73,74.0,Duke Johnson Jr.
74,75.0,Robbie Anderson
75,76.0,Drew Brees
76,77.0,Derrius Guice 
77,78.0,Carson Wentz
78,79.0,Chicago Bears
79,80.0,Vance McDonald
80,81.0,Sammy Watkins
81,82.0,Russell Wilson
82,83.0,Dede Westbrook
83,84.0,Cam Newton 
84,85.0,William Fuller V
85,86.0,Sterling Shepard
86,87.0,Jared Goff
87,88.0,Christian Kirk
88,89.0,David Njoku
89,90.0,Latavius Murray
90,91.0,Corey Davis
91,92.0,Marvin Jones Jr.
92,93.0,Emmanuel Sanders
93,94.0,Curtis Samuel
94,95.0,Jordan Howard
95,96.0,LeSean McCoy
96,97.0,Larry Fitzgerald
97,98.0,Eric Ebron 
98,99.0,Rashaad Penny
99,100.0,Ben Roethlisberger 
