"Pick","Round","Team ID","Team Name","Player ID","Last Name","First Name","Avg. Pick","Avg. Round","Avg. Cost","% Drafted"
"1","1","406.l.12365.t.4","Clark N's Crazy Team","406.p.30121","McCaffrey","Christian","1.2","1.0","$73.9","100%"
"2","1","406.l.12365.t.3","liam's Neat Team","406.p.30154","Cook","Dalvin","2.4","1.0","$65.8","100%"
"3","1","406.l.12365.t.9","Iguanas","406.p.30180","Kamara","Alvin","4.4","1.0","$63.0","100%"
"4","1","406.l.12365.t.2","fernando's Team","406.p.29238","Elliott","Ezekiel","5.0","1.1","$58.9","100%"
"5","1","406.l.12365.t.6","Arab","406.p.29279","Henry","Derrick","4.0","1.0","$63.8","100%"
"6","1","406.l.12365.t.1","Scamdemic '21","406.p.26686","Kelce","Travis","12.4","1.8","$50.6","100%"
"7","1","406.l.12365.t.7","Jorge's Slam-Dunk Team","406.p.31005","Chubb","Nick","7.1","1.1","$56.6","100%"
"8","1","406.l.12365.t.10","stroudsburgh eagles","406.p.27581","Adams","Davante","10.1","1.4","$54.3","100%"
"9","1","406.l.12365.t.8","Amy's Official Team","406.p.30295","Jones","Aaron","8.5","1.2","$55.6","100%"
"10","1","406.l.12365.t.5","8/27 @ Midnite","406.p.30972","Barkley","Saquon","11.6","1.7","$54.1","100%"
"11","2","406.l.12365.t.5","8/27 @ Midnite","406.p.29399","Hill","Tyreek","9.3","1.3","$54.3","100%"
"12","2","406.l.12365.t.8","Amy's Official Team","406.p.32711","Taylor","Jonathan","10.7","1.6","$52.8","100%"
"13","2","406.l.12365.t.10","stroudsburgh eagles","406.p.31056","Andrews","Mark","50.4","5.7","$10.4","100%"
"14","2","406.l.12365.t.7","Jorge's Slam-Dunk Team","406.p.28534","Diggs","Stefon","13.0","2.0","$49.2","100%"
"15","2","406.l.12365.t.1","Scamdemic '21","406.p.30123","Mahomes","Patrick","16.6","2.2","$35.3","100%"
"16","2","406.l.12365.t.6","Arab","406.p.31905","Montgomery","David","32.7","3.9","$26.1","100%"
"17","2","406.l.12365.t.2","fernando's Team","406.p.30423","Ekeler","Austin","15.5","2.1","$47.8","100%"
"18","2","406.l.12365.t.9","Iguanas","406.p.31896","Metcalf","DK","19.9","2.5","$36.6","100%"
"19","2","406.l.12365.t.3","liam's Neat Team","406.p.30996","Ridley","Calvin","18.7","2.3","$40.9","100%"
