"ID","OR","Last Name","First Name","Team","Status","Status Details","Eligible Positions","Avg. Pick","Avg. Round","Avg. Cost","% Drafted","Pass Yds (O)","Pass TD (O)","Int (O)","Rush Att (O)","Rush Yds (O)","Rush TD (O)","Targets (O)","Rec (O)","Rec Yds (O)","Rec TD (O)","Ret TD (O)","2-PT (O)","Fum Lost (O)","Fum Ret TD (O)","FG 0-19 (K)","FG 20-29 (K)","FG 30-39 (K)","FG 40-49 (K)","FG 50+ (K)","PAT Made (K)","Pts Allow (DT)","Sack (DT)","Int (DT)","Fum Rec (DT)","TD (DT)","Safe (DT)","Blk Kick (DT)","Ret TD (DT)","XPR (DT)","Pts Allow 0 (DT)","Pts Allow 1-6 (DT)","Pts Allow 7-13 (DT)","Pts Allow 14-20 (DT)","Pts Allow 21-27 (DT)","Pts Allow 28-34 (DT)","Pts Allow 35+ (DT)","Image"
"406.p.30977","1","Allen","Josh","Buf","Available","","QB","29.7","3.6","$22.8","100%","4407","36","15","122","763","6","0","0","0","0","0","3","3","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/JqjwXUxHWb2LPz4fhi1SXw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08192021/30977.png"
"406.p.32676","2","Herbert","Justin","LAC","Available","","QB","61.1","6.8","$5.8","100%","5014","38","15","63","302","3","0","0","0","0","0","6","1","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/j0W7BC4RRiJBr.ctNKd4Ew--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08232021/32676.png"
"406.p.5228","3","Brady","Tom","TB","Available","","QB","63.5","7.0","$4.6","100%","5316","43","12","28","81","2","0","0","0","0","0","0","3","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/Z71ic_5aqQfGl9n0xGMgkA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/10012020/5228.png"
"406.p.30123","4","Mahomes","Patrick","KC","Available","","QB","16.6","2.2","$35.3","100%","4839","37","13","66","381","2","0","0","0","0","0","2","4","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/oMIJokh4hdPkEpTCxcoLzw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08202021/30123.png"
"406.p.30182","5","Kupp","Cooper","LAR","Available","","WR","42.0","4.8","$13.3","100%","0","0","0","4","18","0","191","145","1947","16","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/hYxm3SR9yMjD9ToMEdyQcA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08232021/30182.png"
"406.p.32711","6","Taylor","Jonathan","Ind","Available","","RB","10.7","1.6","$52.8","100%","0","0","0","332","1811","18","51","40","360","2","0","0","2","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/Nbvy627EIkX6S8oS4zlDmQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08252021/32711.1.png"
"406.p.9265","7","Stafford","Matthew","LAR","Available","","QB","96.1","10.4","$2.7","100%","4886","41","17","32","43","0","0","0","0","0","0","2","2","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/NLpqTREzQoQe0vUpPx7zLg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08112021/9265.png"
"406.p.7200","8","Rodgers","Aaron","GB","Available","","QB","59.6","6.6","$6.3","100%","4115","37","4","33","101","3","1","1","-4","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/XjOvxASLz3jZQU9J_zIA.w--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08232021/7200.png"
"406.p.29369","9","Prescott","Dak","Dal","Available","","QB","53.3","5.9","$8.6","100%","4449","37","10","48","146","1","0","0","0","0","0","3","6","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/KE1Rw3r7nA8anql98tZI4Q--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08092022/29369.png"
"406.p.32671","10","Burrow","Joe","Cin","Questionable","Q - Knee - MCL","QB","114.1","12.3","$1.6","98%","4611","34","14","40","118","2","0","0","0","0","0","1","2","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/CycP9kmKYjRsq7SSUr2_2A--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08202021/32671.png"
