"ID","Name","Commissioner","Manager","Rank","Playoff Seed","Wins","Losses","Ties","Image"
"406.l.12365.t.1","Scamdemic '21","False","--hidden--","5","7","6","9","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_12_s.png"
"406.l.12365.t.2","fernando's Team","False","--hidden--","4","1","11","4","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29412017527_47ee95.jpg"
"406.l.12365.t.3","liam's Neat Team","False","--hidden--","9","","5","10","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_1_l.png"
"406.l.12365.t.4","Clark N's Crazy Team","False","--hidden--","8","8","6","9","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_2_c.png"
"406.l.12365.t.5","8/27 @ Midnite","False","--hidden--","10","","5","10","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4_j.png"
"406.l.12365.t.6","Arab","False","--hidden--","1","3","9","6","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4_t.png"
"406.l.12365.t.7","Jorge's Slam-Dunk Team","False","--hidden--","2","4","8","7","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_3_j.png"
"406.l.12365.t.8","Amy's Official Team","False","--hidden--","6","5","8","7","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4_a.png"
"406.l.12365.t.9","Iguanas","False","--hidden--","3","2","10","5","0","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/e7d67bd0483bc4b976b31e981ede6db53591a27686fc457e7bd6c4676c3dcae6.jpg"
"406.l.12365.t.10","stroudsburgh eagles","False","--hidden--","7","6","7","8","0","https://s.yimg.com/cv/apiv2/default/nfl/nfl_1_h.png"
