,snaps_Aaron Rodgers,snaps_Dak Prescott,snaps_Jalen Hurts,snaps_Joe Burrow,snaps_Josh Allen,snaps_Justin Herbert,snaps_Kyler Murray,snaps_Lamar Jackson,snaps_Matthew Stafford,snaps_Patrick Mahomes II,snaps_Russell Wilson,snaps_Tom Brady,snaps_Trey Lance
9/7/2017,82,74,,,,,,,71,0,49,81,
9/14/2017,76.0,71.0,,,,,,,62.0,0.0,82.0,76.0,
9/21/2017,70.0,47.0,,,,,,,70.0,0.0,73.0,64.0,
9/28/2017,52.0,71.0,,,,,,,70.0,0.0,68.0,70.0,
10/5/2017,60,74,,,,,,,61,0,68,74,
10/12/2017,8,0,,,,,,,81,0,0,68,
10/19/2017,0,63,,,,,,,0,0,75,74,
10/26/2017,0,68,,,,,,,71,0,69,86,
11/2/2017,0,67,,,,,,,68,0,83,0,
11/9/2017,0,63,,,,,,,52,0,62,61,
11/16/2017,0,60,,,,,,,63,0,74,57,
11/23/2017,0.0,55.0,,,,,,,59.0,0.0,68.0,70.0,
11/30/2017,0.0,67.0,,,,,,,54.0,0.0,62.0,68.0,
12/7/2017,0.0,63.0,,,,,,,68.0,0.0,62.0,61.0,
12/14/2017,69.0,65.0,,,,,,,63.0,0.0,52.0,59.0,
12/23/2017,0.0,74.0,,,,,,,61.0,0.0,57.0,67.0,
12/31/2017,0.0,68.0,,,,,,,58.0,62.0,58.0,79.0,
9/6/2018,46.0,64.0,,,32.0,,,31.0,62.0,56.0,57.0,75.0,
9/13/2018,76.0,53.0,,,62.0,,,6.0,77.0,58.0,66.0,61.0,
9/20/2018,69.0,59.0,,,67.0,,,2.0,73.0,75.0,69.0,48.0,
9/27/2018,76,69,,,58,,,9,54,78,66,77,
10/4/2018,81,62,,,65,,,5,62,70,60,69,
10/11/2018,71,67,,,38,,,2,0,54,65,78,
10/18/2018,0,66,,,0,,,5,64,70,0,64,
10/25/2018,52,0,,,0,,,14,59,58,63,74,
11/1/2018,74,59,,,0,,,13,70,63,81,71,
11/8/2018,57,69,,,0,,,0,78,59,68,58,
11/15/2018,49,64,,,0,,,79,65,72,70,0,
11/22/2018,53,70,,,58,,,70,66,0,62,70,
11/29/2018,76.0,71.0,,,72.0,,,66.0,72.0,71.0,58.0,74.0,
12/6/2018,64.0,99.0,,,76.0,,,69.0,60.0,86.0,66.0,81.0,
12/13/2018,68.0,69.0,,,68.0,,,76.0,57.0,60.0,75.0,63.0,
12/22/2018,90.0,52.0,,,61.0,,,61.0,60.0,61.0,80.0,66.0,
12/30/2018,9.0,77.0,,,62.0,,,77.0,73.0,41.0,63.0,64.0,
9/5/2019,61.0,65.0,,,66.0,,88.0,53.0,84.0,59.0,51.0,70.0,
9/12/2019,71.0,69.0,,,70.0,,57.0,77.0,60.0,75.0,78.0,71.0,
9/19/2019,54.0,72.0,,,76.0,,75.0,82.0,61.0,68.0,83.0,72.0,
9/26/2019,79,58,,,58,,63,70,76,68,62,63,
10/3/2019,72,71,,,64,,75,79,0,61,73,71,
10/10/2019,74,82,,,0,,69,79,55,55,81,81,
10/17/2019,52,69,,,55,,64,58,75,20,71,77,
10/24/2019,67,0,,,59,,46,0,62,0,60,69,
10/31/2019,50,69,,,62,,56,67,69,0,74,67,
11/7/2019,64,71,,,68,,67,35,0,82,73,0,
11/14/2019,0,73,,,71,,67,58,0,67,0,74,
