,Aaron Rodgers,Dak Prescott,Jalen Hurts,Joe Burrow,Josh Allen,Justin Herbert,Kyler Murray,Lamar Jackson,Matthew Stafford,Patrick Mahomes II,Russell Wilson,Tom Brady,Trey Lance
2017-09-07,16.5,17.1,,,,,,,27.1,,8.3,10.7,
2017-09-14,18.5,15.9,,,,,,,13.2,,15.3,30.8,
2017-09-21,24.8,22.9,,,,,,,16.5,,33.5,35.7,
2017-09-28,23.1,22.6,,,,,,,10.1,,27.6,20.5,
2017-10-05,24.0,29.7,,,,,,,15.2,,11.5,12.6,
2017-10-12,0.7,,,,,,,,14.9,,,16.2,
2017-10-19,,30.0,,,,,,,,,26.4,18.5,
2017-10-26,,7.3,,,,,,,18.0,,35.1,17.5,
2017-11-02,,26.7,,,,,,,22.4,,23.6,,
2017-11-09,,13.2,,,,,,,21.7,,19.4,22.6,
2017-11-16,,-1.2,,,,,,,18.3,,30.9,25.6,
2017-11-23,,3.2,,,,,,,14.0,,23.6,20.7,
2017-11-30,,14.9,,,,,,,11.9,,24.2,8.3,
2017-12-07,,26.6,,,,,,,15.2,,21.8,9.3,
2017-12-14,21.9,13.7,,,,,,,17.4,,11.6,15.7,
2017-12-23,,5.3,,,,,,,10.8,,14.6,15.6,
2017-12-31,,12.8,,,,,,,27.1,10.4,20.4,15.6,
2018-09-06,24.9,8.7,,,5.6,,,4.9,8.0,28.3,20.4,21.3,
2018-09-13,16.0,14.9,,,13.0,,,0.6,24.7,38.8,14.7,16.4,
2018-09-20,19.9,8.8,,,27.7,,,0.0,17.5,25.3,15.6,7.5,
2018-09-27,15.0,18.4,,,1.9,,,1.7,20.8,22.9,9.0,19.0,
2018-10-04,28.7,11.7,,,9.2,,,1.0,15.2,15.8,19.9,27.5,
2018-10-11,28.4,29.5,,,5.4,,,2.2,,27.0,20.9,21.8,
2018-10-18,,20.2,,,,,,7.1,17.6,32.8,,21.7,
2018-10-25,15.9,,,,,,,8.4,17.0,26.0,23.4,13.8,
2018-11-01,19.2,14.8,,,,,,1.5,6.6,26.8,19.5,15.7,
2018-11-08,18.1,21.7,,,,,,,15.9,20.1,26.2,11.8,
2018-11-15,21.6,14.8,,,,,,15.9,13.4,35.9,18.6,,
2018-11-22,11.9,27.4,,,26.3,,,20.2,5.4,,22.0,19.2,
2018-11-29,15.3,14.2,,,28.7,,,16.5,10.0,33.0,24.8,14.9,
2018-12-06,20.2,24.4,,,18.3,,,18.6,4.7,20.8,9.0,26.6,
2018-12-13,13.5,6.2,,,19.8,,,16.7,12.3,18.0,19.0,13.2,
2018-12-22,42.9,16.6,,,11.7,,,16.1,4.6,28.2,28.5,5.0,
2018-12-30,1.0,33.5,,,40.5,,,26.2,18.4,17.3,7.9,26.0,
2019-09-05,12.9,33.4,,,18.0,,22.6,33.6,27.6,27.3,16.6,25.6,
