"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Saquon Barkley (NYG)","27","142","5.3","23","1","2","2","3","10","5.0","1","0","1","35.2","35.2","100.0%"
"2","Ezekiel Elliott (DAL)","23","122","5.3","23","1","1","7","8","79","11.3","0","0","1","33.1","33.1","99.0%"
"3","Aaron Jones (GB)","11","40","3.6","8","0","1","5","6","63","12.6","1","0","1","27.3","27.3","100.0%"
"4","Phillip Lindsay (IND)","11","79","7.2","41","3","2","4","5","27","6.8","0","0","1","26.6","26.6","1.0%"
"5","Mark Ingram II (NO)","16","103","6.4","38","2","2","0","0","0","0","0","0","1","22.3","22.3","16.0%"
"6","Leonard Fournette (TB)","28","95","3.4","20","1","1","2","2","46","23.0","0","0","1","22.1","22.1","100.0%"
"7","Melvin Gordon III (DEN)","18","69","3.8","20","1","0","6","6","87","14.5","0","0","1","21.6","21.6","88.0%"
"8","Kareem Hunt (CLE)","14","70","5.0","27","1","0","3","4","41","13.7","1","0","1","20.1","20.1","89.0%"
"9","Gus Edwards (BAL)","17","115","6.8","17","0","1","0","0","0","0","0","0","1","19.5","19.5","22.0%"
"10","Peyton Barber (FA)","18","106","5.9","28","1","1","2","2","4","2.0","0","0","1","19.0","19.0","1.0%"
"11","Alvin Kamara (NO)","13","71","5.5","16","0","0","1","1","37","37.0","1","0","1","17.8","17.8","100.0%"
"12","Kerryon Johnson (FA)","15","87","5.8","24","1","1","2","2","10","5.0","0","0","1","17.7","17.7","0.0%"
"13","Adrian Peterson (FA)","16","51","3.2","9","0","2","0","0","0","0","0","0","1","17.1","17.1","4.0%"
"14","Christian McCaffrey (CAR)","13","53","4.1","10","0","0","6","8","57","9.5","0","0","1","17.0","17.0","100.0%"
"15","David Johnson (FA)","25","137","5.5","53","4","0","1","3","17","17.0","0","0","1","16.4","16.4","0.0%"
"16","Josh Adams (FA)","7","53","7.6","28","1","1","3","6","19","6.3","0","0","1","16.2","16.2","0.0%"
"17","Joe Mixon (CIN)","12","14","1.2","4","0","1","3","3","38","12.7","0","0","1","14.2","14.2","100.0%"
"18","Marlon Mack (HOU)","16","61","3.8","9","0","1","1","2","8","8.0","0","0","1","13.9","13.9","29.0%"
"19","Lamar Miller (FA)","20","86","4.3","21","1","0","3","5","22","7.3","0","0","1","13.8","13.8","0.0%"
"20","Todd Gurley II (FA)","12","55","4.6","24","1","0","3","3","39","13.0","0","0","1","12.4","12.4","0.0%"
"21","Jalen Richard (FA)","11","61","5.5","24","1","0","3","4","32","10.7","0","0","1","12.3","12.3","1.0%"
"22","Chris Carson (FA)","17","83","4.9","15","0","1","0","0","0","0","0","1","1","12.3","12.3","1.0%"
"23","Tevin Coleman (NYJ)","8","58","7.3","17","0","0","3","3","27","9.0","0","0","1","11.5","11.5","0.0%"
"24","James Conner (ARI)","9","25","2.8","9","0","0","6","9","24","4.0","0","0","1","10.9","10.9","99.0%"
"25","Royce Freeman (HOU)","7","23","3.3","7","0","1","1","1","7","7.0","0","0","1","10.0","10.0","0.0%"
"26","Jordan Wilkins (FA)","4","30","7.5","18","0","1","0","0","0","0","0","0","1","9.0","9.0","0.0%"
"27","Austin Ekeler (LAC)","6","29","4.8","17","0","0","2","2","40","20.0","0","0","1","8.9","8.9","100.0%"
"28","Theo Riddick (FA)","1","0","0.0","0","0","0","5","6","30","6.0","0","0","1","8.0","8.0","0.0%"
"29","Alex Collins (FA)","7","18","2.6","7","0","1","0","0","0","0","0","0","1","7.8","7.8","19.0%"
"30","Jordan Howard (FA)","18","63","3.5","8","0","0","1","1","2","2.0","0","0","1","7.5","7.5","0.0%"
"31","Mike Davis (BAL)","4","26","6.5","10","0","0","2","2","24","12.0","0","0","1","7.0","7.0","13.0%"
"32","Doug Martin (FA)","10","52","5.2","11","0","0","1","1","6","6.0","0","0","1","6.8","6.8","0.0%"
"33","Giovani Bernard (TB)","2","5","2.5","3","0","0","4","4","20","5.0","0","0","1","6.5","6.5","0.0%"
"34","Tarik Cohen (FA)","7","27","3.9","21","1","0","3","5","23","7.7","0","1","1","6.0","6.0","0.0%"
"35","Wayne Gallman Jr. (FA)","2","11","5.5","6","0","0","2","2","24","12.0","0","0","1","5.5","5.5","0.0%"
"36","T.J. Yeldon (FA)","5","23","4.6","6","0","0","2","3","9","4.5","0","0","1","5.2","5.2","0.0%"
"37","Alfred Blue (FA)","8","46","5.8","16","0","0","0","0","0","0","0","0","1","4.6","4.6","0.0%"
"38","Derrick Henry (TEN)","9","46","5.1","16","0","0","0","0","0","0","0","0","1","4.6","4.6","100.0%"
"39","Rashaad Penny (SEA)","8","46","5.8","30","2","0","0","0","0","0","0","0","1","4.6","4.6","90.0%"
"40","Nyheim Hines (IND)","5","14","2.8","8","0","0","1","3","20","20.0","0","0","1","4.4","4.4","62.0%"
"41","Carlos Hyde (FA)","8","44","5.5","11","0","0","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"42","Dion Lewis (FA)","10","24","2.4","11","0","0","1","2","8","8.0","0","0","1","4.2","4.2","2.0%"
"43","Ito Smith (FA)","6","10","1.7","5","0","0","2","2","12","6.0","0","0","1","4.2","4.2","0.0%"
