,AJ Dillon (GB),Aaron Jones (GB),Alexander Mattison (MIN),Alvin Kamara (NO),Antonio Gibson (WAS),Austin Ekeler (LAC),Breece Hall (NYJ),Brian Robinson Jr. (WAS),Cam Akers (LAR),Chase Edmonds (MIA),Christian McCaffrey (CAR),Clyde Edwards-Helaire (KC),Cordarrelle Patterson (ATL),D'Andre Swift (DET),Dalvin Cook (MIN),Dameon Pierce (HOU),Damien Harris (NE),Darrell Henderson Jr. (LAR),David Montgomery (CHI),Derrick Henry (TEN),Devin Singletary (BUF),Elijah Mitchell (SF),Ezekiel Elliott (DAL),Isaiah Spiller (LAC),Isiah Pacheco (KC),J.D. McKissic (WAS),J.K. Dobbins (BAL),Jamaal Williams (DET),James Conner (ARI),James Cook (BUF),James Robinson (JAC),Javonte Williams (DEN),Joe Mixon (CIN),Jonathan Taylor (IND),Josh Jacobs (LV),Kareem Hunt (CLE),Ken Walker III (SEA),Kenneth Gainwell (PHI),Khalil Herbert (CHI),Leonard Fournette (TB),Mark Ingram II (NO),Marlon Mack (HOU),Melvin Gordon III (DEN),Michael Carter (NYJ),Miles Sanders (PHI),Najee Harris (PIT),Nick Chubb (CLE),Nyheim Hines (IND),Rachaad White (TB),Raheem Mostert (MIA),Rashaad Penny (SEA),Rhamondre Stevenson (NE),Ronald Jones II (KC),Saquon Barkley (NYG),Tony Pollard (DAL),Travis Etienne Jr. (JAC),Tyler Allgeier (ATL)
2017-09-07,,,,7.8,,3.8,,,,,11.5,,0.0,,16.7,,,,,2.5,,,19.0,,,,,0.9,1.1,,,,5.4,,,45.6,,,,21.4,12.1,11.5,18.9,,,,,,,0.0,,,,,,,
2017-09-14,,0.0,,8.4,,0.0,,,,,8.4,,0.0,,8.4,,,,,15.2,,,6.2,,,,,2.1,0.9,,,,5.1,,,25.9,,,,14.1,11.6,1.8,20.8,,,,,,,0.0,,,,,,,
2017-09-21,,0.0,,13.2,,1.6,,,,,20.7,,0.0,,27.9,,,,,7.4,,,18.4,,,,,0.6,0.0,,,,13.1,,,25.3,,,,17.0,10.6,,13.9,,,,,,,-0.9,,,,,,,
2017-09-28,,10.9,,25.6,,13.8,,,,,8.9,,0.0,,12.4,,,,,0.7,,,29.9,,,19.5,,2.3,2.6,,,,8.8,,,16.1,,,,24.5,10.2,,3.9,,,,,,,0.0,,,,,,,
2017-10-05,,20.4,,,,5.8,,,,,14.8,,0.0,,,,,,,0.9,,,14.2,,,6.6,,0.1,0.9,,,,11.1,,,14.6,,,,31.4,,16.3,34.3,,,,,,,0.3,,,,,,,
2017-10-12,,5.2,,11.7,,1.9,,,,,22.4,,0.0,,,,,,,21.5,,,,,,,,0.0,1.4,,,,,,,16.0,,,,21.8,30.0,1.8,36.0,,,,,,,1.6,,,,,,,
2017-10-19,,22.8,,15.7,,14.4,,,,,11.6,,0.0,,,,,,,4.4,,,40.9,,,5.3,,0.0,1.9,,,,9.8,,,15.7,,,,,21.0,10.6,5.4,,,,,,,0.0,,,,,,,
2017-10-26,,,,16.6,,3.1,,,,,10.2,,0.0,,,,,,,,,,26.4,,,2.2,,,0.1,,,,11.9,,,9.8,,,,,17.9,15.3,20.9,,,,,,,0.0,,,,,,,
2017-11-02,,3.1,,31.2,,,,,,,20.4,,0.0,,,,,,,11.6,,,15.3,,,4.6,,11.2,,,,,13.6,,,10.1,,,,,8.9,2.9,,,,,,,,0.0,,,,,,,
2017-11-09,,2.2,,24.8,,26.9,,,,,20.0,,,,,,,,,5.2,,,,,,8.6,,8.4,1.2,,,,11.0,,,,,,,6.6,31.1,4.6,9.2,,,,,,,0.0,,,,,,,
