"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Denver Broncos (DEN)","42","14","13","15","4","0","0","16","152.0","9.5","41.8%"
"2","Kansas City Chiefs (KC)","28","18","15","13","5","1","3","16","148.0","9.3","23.4%"
"3","Arizona Cardinals (ARI)","48","14","14","17","3","2","0","16","146.0","9.1","1.8%"
"4","New York Giants (NYG)","35","17","8","13","3","0","1","16","141.0","8.8","5.2%"
"5","Minnesota Vikings (MIN)","41","14","13","13","4","1","3","16","139.0","8.7","12.2%"
"6","Tampa Bay Buccaneers (TB)","38","17","12","16","4","1","0","16","133.0","8.3","95.7%"
"7","Philadelphia Eagles (PHI)","34","16","10","12","3","1","2","16","128.0","8.0","36.2%"
"8","New England Patriots (NE)","34","13","10","13","0","3","0","16","126.0","7.9","38.0%"
"9","Carolina Panthers (CAR)","47","17","10","17","3","1","0","16","124.0","7.8","2.6%"
"10","Baltimore Ravens (BAL)","31","18","10","11","1","0","1","16","122.0","7.6","85.6%"
"11","Los Angeles Chargers (LAC)","35","18","10","12","5","1","0","16","119.0","7.4","60.7%"
"12","Seattle Seahawks (SEA)","42","11","8","14","1","1","0","16","116.0","7.3","2.0%"
"13","Atlanta Falcons (ATL)","34","12","10","17","5","0","0","16","111.0","6.9","2.2%"
"14","Pittsburgh Steelers (PIT)","38","13","10","14","1","1","0","16","106.0","6.6","58.7%"
"15","Miami Dolphins (MIA)","33","16","9","15","1","0","3","16","104.0","6.5","20.9%"
"16","Buffalo Bills (BUF)","39","12","6","9","3","0","0","16","103.0","6.4","99.5%"
"17","Green Bay Packers (GB)","40","17","8","8","0","0","0","16","100.0","6.3","82.2%"
"18","Las Vegas Raiders (LV)","25","16","14","19","1","0","0","16","94.0","5.9","2.7%"
"19","Cincinnati Bengals (CIN)","33","17","3","5","0","1","0","16","92.0","5.8","44.6%"
"20","Tennessee Titans (TEN)","40","12","6","4","1","0","0","16","92.0","5.8","7.8%"
"21","Dallas Cowboys (DAL)","36","9","11","17","0","0","0","16","91.0","5.7","74.0%"
"22","Los Angeles Rams (LAR)","31","10","8","11","1","0","0","16","91.0","5.7","65.8%"
"23","Houston Texans (HOU)","31","11","6","6","1","1","1","16","89.0","5.6","1.8%"
"24","Washington Commanders (WAS)","38","13","7","15","0","0","1","16","86.0","5.4","38.8%"
"25","Indianapolis Colts (IND)","33","8","9","15","1","0","1","16","81.0","5.1","62.4%"
"26","Chicago Bears (CHI)","37","8","3","9","2","1","1","16","78.0","4.9","19.2%"
"27","Detroit Lions (DET)","26","10","4","7","1","2","2","16","73.0","4.6","1.0%"
"28","Jacksonville Jaguars (JAC)","33","7","6","8","1","0","1","16","64.0","4.0","1.8%"
"29","San Francisco 49ers (SF)","33","10","10","12","0","1","0","16","63.0","3.9","95.0%"
"30","New Orleans Saints (NO)","30","9","12","11","0","1","0","16","58.0","3.6","89.3%"
"31","New York Jets (NYJ)","27","8","4","12","0","0","0","16","56.0","3.5","1.6%"
"32","Cleveland Browns (CLE)","26","10","3","5","1","0","0","16","48.0","3.0","49.2%"
""
""
