"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Rob Gronkowski (FA)","72","120","1,176","16.3","76","22","11","0","0","0","0","15","255.6","17.0","1.7%"
"2","Delanie Walker (FA)","94","133","1,088","11.6","61","13","6","1","36","0","0","15","244.4","16.3","0.1%"
"3","Jordan Reed (FA)","87","114","952","10.9","32","14","11","0","0","0","2","14","244.2","17.4","19.0%"
"4","Gary Barnidge (FA)","79","125","1,043","13.2","40","16","9","0","0","0","0","16","237.3","14.8","0.1%"
"5","Greg Olsen (FA)","77","124","1,104","14.3","52","20","7","0","0","0","1","16","227.4","14.2","7.0%"
"6","Tyler Eifert (FA)","52","74","615","11.8","31","8","13","0","0","0","0","13","191.5","14.7","0.0%"
"7","Benjamin Watson (FA)","74","110","825","11.1","46","13","6","0","0","0","1","16","190.5","11.9","2.8%"
"8","Travis Kelce (KC)","72","103","875","12.2","42","10","5","0","0","0","2","16","189.5","11.8","100.0%"
"9","Zach Ertz (ARI)","75","112","853","11.4","60","11","2","0","0","0","1","15","170.3","11.4","92.9%"
"10","Jason Witten (FA)","77","104","713","9.3","35","4","3","0","0","0","1","16","164.3","10.3","0.0%"
"11","Richard Rodgers (LAC)","58","85","510","8.8","61","6","8","1","11","0","0","16","160.1","10.0","0.0%"
"12","Antonio Gates (FA)","56","85","630","11.3","40","5","5","0","0","0","0","11","149.0","13.5","0.2%"
"13","Eric Ebron (FA)","47","70","537","11.4","55","5","5","0","0","0","0","14","130.7","9.3","0.0%"
"14","Jacob Tamme (FA)","59","81","657","11.1","41","7","1","0","0","0","0","15","130.7","8.7","0.0%"
"15","Kyle Rudolph (TB)","49","73","495","10.1","47","4","5","0","0","0","0","16","128.5","8.0","1.5%"
"16","Heath Miller (FA)","60","81","535","8.9","27","5","2","1","2","0","0","15","127.7","8.5","0.0%"
"17","Coby Fleener (FA)","54","84","491","9.1","57","4","3","0","0","0","0","16","123.1","7.7","0.0%"
"18","Charles Clay (FA)","51","77","528","10.4","40","9","3","0","0","0","0","13","121.8","9.4","0.0%"
"19","Julius Thomas (FA)","46","80","455","9.9","34","5","5","0","0","0","0","12","121.5","10.1","0.0%"
"20","Jimmy Graham (FA)","48","74","605","12.6","45","11","2","0","0","0","0","11","120.5","11.0","0.0%"
"21","Owen Daniels (FA)","46","77","517","11.2","37","6","3","0","0","0","0","16","115.7","7.2","0.0%"
"22","Martellus Bennett (FA)","53","80","439","8.3","24","5","3","0","0","0","0","11","114.9","10.4","23.0%"
"23","Zach Miller (FA)","34","46","439","12.9","87","7","5","0","0","0","0","15","107.9","7.2","0.0%"
"24","Ladarius Green (FA)","37","63","429","11.6","31","5","4","0","0","0","0","13","107.9","8.3","0.0%"
"25","Will Tye (FA)","42","62","464","11.0","45","5","3","0","0","0","1","13","104.4","8.0","0.0%"
"26","Crockett Gillmore (FA)","33","47","412","12.5","46","5","4","0","0","0","0","10","98.2","9.8","0.0%"
"27","Jordan Cameron (FA)","35","70","386","11.0","29","4","3","0","0","0","0","16","91.6","5.7","0.1%"
"28","Jared Cook (FA)","39","75","481","12.3","49","7","0","0","0","0","1","16","87.1","5.4","0.0%"
"29","Brent Celek (FA)","27","35","398","14.7","60","6","3","0","0","0","0","16","84.8","5.3","0.0%"
"30","Vance McDonald (FA)","30","46","326","10.9","36","5","3","0","0","0","0","14","80.6","5.8","0.0%"
"31","Clive Walford (FA)","28","50","329","11.8","33","5","3","0","0","0","0","16","78.9","4.9","0.0%"
"32","Austin Seferian-Jenkins (FA)","21","39","338","16.1","43","7","4","0","0","0","0","7","78.8","11.3","0.0%"
"33","Vernon Davis (FA)","38","58","395","10.4","43","4","0","0","0","0","0","15","77.5","5.2","1.6%"
"34","Scott Chandler (FA)","23","42","259","11.3","30","4","4","0","0","0","0","15","72.9","4.9","0.0%"
"35","Darren Fells (FA)","21","28","311","14.8","48","4","3","0","0","0","0","14","70.1","5.0","0.0%"
"36","Cameron Brate (TB)","23","30","288","12.5","46","5","3","0","0","0","0","14","69.8","5.0","2.7%"
"37","Anthony Fasano (FA)","26","42","289","11.1","33","3","2","0","0","0","0","16","66.9","4.2","0.1%"
"38","Mychal Rivera (FA)","32","46","280","8.8","29","2","1","0","0","0","0","16","66.0","4.1","0.2%"
"39","Maxx Williams (ARI)","32","48","268","8.4","28","2","1","0","0","0","0","14","64.8","4.6","0.1%"
"40","Larry Donnell (FA)","29","41","223","7.7","22","2","2","0","0","0","0","8","63.3","7.9","0.0%"
"41","Lance Kendricks (FA)","25","40","245","9.8","37","3","2","0","0","0","0","15","61.5","4.1","0.0%"
"42","Ryan Griffin (CHI)","20","34","251","12.6","37","4","2","0","0","0","0","9","57.1","6.3","0.1%"
