"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Antonio Brown (FA)","136","193","1,834","13.5","59","25","10","3","28","0","2","16","382.2","23.9","0.2%"
"2","Julio Jones (TB)","136","203","1,871","13.8","70","25","8","0","0","0","1","16","369.1","23.1","66.3%"
"3","Brandon Marshall (FA)","109","173","1,502","13.8","69","19","14","0","0","0","2","16","339.2","21.2","2.6%"
"4","DeAndre Hopkins (ARI)","111","192","1,521","13.7","61","19","11","0","0","0","0","16","331.1","20.7","85.1%"
"5","Odell Beckham Jr. (FA)","96","158","1,450","15.1","87","19","13","1","3","0","0","15","319.3","21.3","9.1%"
"6","Allen Robinson II (LAR)","80","151","1,400","17.5","90","31","14","0","0","0","0","16","304.0","19.0","93.4%"
"7","Larry Fitzgerald (FA)","109","145","1,215","11.1","44","17","9","0","0","0","2","16","280.5","17.5","0.0%"
"8","A.J. Green (ARI)","86","132","1,297","15.1","80","19","10","0","0","0","1","16","273.7","17.1","7.9%"
"9","Jarvis Landry (NO)","110","166","1,157","10.5","50","10","4","18","113","1","0","16","269.4","16.8","53.4%"
"10","Doug Baldwin (FA)","78","103","1,069","13.7","80","16","14","0","0","0","0","16","268.9","16.8","0.0%"
"11","Demaryius Thomas (FA)","105","177","1,304","12.4","72","14","6","0","0","0","2","16","267.4","16.7","0.1%"
"12","Calvin Johnson (FA)","88","149","1,214","13.8","57","16","9","0","0","0","1","16","261.4","16.3","0.1%"
"13","Brandin Cooks (HOU)","84","129","1,138","13.5","71","18","9","8","18","0","0","16","253.6","15.9","95.8%"
"14","Eric Decker (FA)","80","132","1,027","12.8","35","16","12","0","0","0","1","15","252.7","16.8","0.6%"
"15","Jeremy Maclin (FA)","87","124","1,088","12.5","61","14","8","3","14","0","1","15","243.2","16.2","0.0%"
"16","Michael Crabtree (FA)","85","146","922","10.8","38","15","9","0","0","0","0","16","231.2","14.5","0.0%"
