"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Justin Herbert","QB","LAC","81","71","66","75","75","56","bye","60","69","59","76","71","64","66","80","62","67","93","1191","70.1"
"Ryan Tannehill","QB","TEN","64","88","68","100","64","53","67","72","57","60","81","56","bye","68","80","62","60","68","1168","68.7"
"Patrick Mahomes II","QB","KC","65","51","79","67","86","82","54","81","65","73","68","bye","57","62","72","63","61","78","1164","68.5"
"Josh Allen","QB","BUF","85","63","71","63","57","77","bye","73","67","54","50","63","58","78","70","79","76","77","1161","68.3"
"Tom Brady","QB","TB","65","60","73","78","62","75","65","61","bye","48","69","67","70","83","74","64","74","51","1139","67.0"
"Derek Carr","QB","LV","86","66","83","57","63","56","66","bye","68","54","47","86","59","63","68","69","61","75","1127","66.3"
"Dak Prescott","QB","DAL","83","62","73","61","78","89","bye","0","62","62","67","74","70","85","71","61","64","51","1113","69.6"
"Carson Wentz","QB","IND","76","62","61","71","69","48","68","80","62","64","62","69","62","bye","52","70","58","57","1091","64.2"
"Kirk Cousins","QB","MIN","83","61","75","67","67","89","bye","66","54","79","70","55","76","70","64","63","0","48","1087","67.9"
"Trevor Lawrence","QB","JAC","74","56","68","56","71","66","bye","76","55","66","46","73","58","55","70","73","47","68","1078","63.4"
"Ben Roethlisberger","QB","PIT","58","56","83","60","65","75","bye","74","72","0","69","62","60","74","49","62","81","76","1076","67.3"
"Matthew Stafford","QB","LAR","52","59","65","68","67","56","65","58","78","55","bye","62","63","58","66","70","58","65","1065","62.6"
"Mac Jones","QB","NE","75","59","72","59","64","54","64","77","56","58","64","59","51","bye","68","64","59","62","1065","62.6"
"Cooper Kupp","WR","LAR","49","59","53","65","59","55","63","58","78","55","bye","62","64","52","62","68","58","64","1024","60.2"
"Matt Ryan","QB","ATL","70","66","62","76","78","bye","63","53","59","38","50","60","71","69","59","46","53","50","1023","60.2"
"Taylor Heinicke","QB","WAS","39","71","54","67","83","59","72","70","bye","73","67","84","67","48","0","43","63","59","1019","63.7"
"Justin Jefferson","WR","MIN","76","53","62","59","60","84","bye","47","43","60","63","51","69","67","59","61","54","46","1014","59.6"
"Terry McLaurin","WR","WAS","55","71","52","65","70","56","66","61","bye","70","62","76","62","33","49","55","60","47","1010","59.4"
"Joe Burrow","QB","CIN","69","55","47","58","67","59","56","55","69","bye","74","58","76","67","53","76","68","0","1007","62.9"
"Dalton Schultz","TE","DAL","57","45","52","48","57","75","bye","60","59","51","66","71","67","72","61","55","60","37","993","58.4"
"DJ Moore","WR","CAR","52","67","54","59","62","68","62","61","50","59","48","53","bye","57","69","60","56","55","992","58.4"
"Diontae Johnson","WR","PIT","44","49","0","55","60","69","bye","68","65","75","63","61","57","72","48","65","72","65","988","61.8"
"Darnell Mooney","WR","CHI","69","58","44","41","49","57","57","54","50","bye","54","61","72","57","70","63","56","74","986","58.0"
"Aaron Rodgers","QB","GB","42","62","63","72","64","59","56","73","0","74","58","82","bye","63","62","59","63","31","983","61.4"
"Marvin Jones Jr.","WR","JAC","67","49","66","52","66","57","bye","69","51","56","42","71","49","54","65","60","45","61","980","57.6"
"Najee Harris","RB","PIT","58","53","79","48","42","63","bye","62","59","76","52","36","58","71","49","56","78","40","980","57.6"
"Michael Pittman Jr.","WR","IND","74","60","57","61","61","46","62","77","53","56","52","65","54","bye","28","68","55","50","979","57.6"
"Robbie Anderson","WR","CAR","52","56","47","59","62","64","61","55","54","51","47","51","bye","62","76","67","60","54","978","57.5"
"Stefon Diggs","WR","BUF","79","51","59","53","42","62","bye","55","59","46","43","54","55","69","58","65","60","67","977","57.5"
"Keenan Allen","WR","LAC","67","65","55","66","68","51","bye","59","62","55","62","61","53","0","62","55","49","82","972","60.8"
"Jalen Hurts","QB","PHI","71","58","58","74","67","52","69","51","57","64","78","67","0","bye","71","56","61","0","954","63.6"
"Kyler Murray","QB","ARI","69","61","67","76","61","68","66","59","0","0","0","bye","53","78","64","65","77","76","940","67.1"
"Ja'Marr Chase","WR","CIN","62","51","39","46","61","57","53","52","71","bye","68","52","73","65","51","69","64","5","939","55.2"
"Mark Andrews","TE","BAL","55","57","46","46","56","37","50","bye","77","57","58","55","50","65","56","47","58","66","936","55.1"
"Cole Kmet","TE","CHI","51","47","43","57","51","48","59","63","48","bye","53","60","55","46","69","71","53","61","935","55.0"
"Travis Kelce","TE","KC","55","44","69","59","75","67","53","74","56","58","59","bye","44","49","56","0","48","60","926","57.9"
"Tyler Conklin","TE","MIN","59","49","54","57","50","76","bye","54","47","67","56","44","72","49","47","61","50","32","924","54.4"
"Marquise Brown","WR","BAL","47","55","39","45","66","51","63","bye","80","55","0","61","64","70","62","54","54","58","924","57.8"
"Courtland Sutton","WR","DEN","53","53","51","58","54","71","47","46","65","55","bye","45","68","59","69","33","52","41","920","54.1"
"Jared Goff","QB","DET","92","57","63","71","68","63","69","58","bye","71","0","49","72","63","64","0","0","58","918","65.6"
"Dawson Knox","TE","BUF","48","54","62","58","55","61","bye","0","0","49","55","60","56","75","63","79","67","75","917","61.1"
"DeVonta Smith","WR","PHI","62","49","57","68","62","51","60","44","44","54","72","61","44","bye","62","54","58","14","916","53.9"
"Mike Evans","WR","TB","61","46","61","69","58","70","56","58","bye","48","64","66","65","77","17","0","56","43","915","57.2"
"Jimmy Garoppolo","QB","SF","51","70","67","37","0","bye","56","56","59","68","64","70","58","71","57","59","0","70","913","60.9"
"Brandon Aiyuk","WR","SF","26","38","60","51","46","bye","40","49","55","61","64","63","54","67","56","55","56","65","906","53.3"
"Jakobi Meyers","WR","NE","74","52","69","56","58","34","59","71","55","48","56","52","0","bye","64","48","56","52","904","56.5"
"Jaylen Waddle","WR","MIA","43","47","73","41","43","65","61","65","65","61","55","55","53","bye","0","58","57","61","903","56.4"
"Mike Williams","WR","LAC","61","54","48","64","58","20","bye","54","57","56","60","61","56","59","65","0","56","67","896","56.0"
"Christian Kirk","WR","ARI","39","38","38","56","33","64","51","46","67","47","61","bye","32","58","72","55","69","68","894","52.6"
"A.J. Green","WR","ARI","55","51","53","67","49","68","60","56","0","38","57","bye","36","56","56","56","62","68","888","55.5"
"Davante Adams","WR","GB","40","57","56","63","58","50","48","0","58","70","52","80","bye","58","57","55","62","22","886","55.4"
"Tyler Higbee","TE","LAR","52","59","49","54","56","66","65","46","76","54","bye","62","63","0","0","64","56","61","883","58.9"
"CeeDee Lamb","WR","DAL","61","60","65","49","65","77","bye","65","44","32","36","0","62","57","49","54","56","49","881","55.1"
