"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Ed Dickson (FA)","5","5","175","35.0","64","3","0","0","0","0","0","1","22.5","22.5","0.0%"
"2","George Kittle (SF)","7","9","83","11.9","27","1","1","0","0","0","0","1","21.3","21.3","100.0%"
"3","Zach Ertz (ARI)","6","12","61","10.2","14","0","1","0","0","0","0","1","18.1","18.1","94.0%"
"4","Travis Kelce (KC)","8","11","98","12.3","26","2","0","0","0","0","0","1","17.8","17.8","100.0%"
"5","Cameron Brate (TB)","5","9","68","13.6","18","0","1","0","0","0","0","1","17.8","17.8","7.0%"
"6","Kyle Rudolph (TB)","6","9","45","7.5","13","0","1","0","0","0","0","1","16.5","16.5","2.0%"
"7","Darren Fells (FA)","2","2","24","12.0","20","1","2","0","0","0","0","1","16.4","16.4","0.0%"
"8","Jimmy Graham (FA)","6","8","37","6.2","9","0","1","0","0","0","0","1","15.7","15.7","0.0%"
"9","Austin Seferian-Jenkins (FA)","6","8","29","4.8","9","0","1","0","0","0","0","1","14.9","14.9","0.0%"
"10","David Njoku (CLE)","3","3","48","16.0","21","1","1","1","1","0","0","1","13.9","13.9","62.0%"
"11","Tyler Higbee (LAR)","4","8","98","24.5","35","3","0","0","0","0","0","1","13.8","13.8","53.0%"
"12","Hunter Henry (NE)","3","8","42","14.0","25","1","1","0","0","0","0","1","13.2","13.2","70.0%"
"13","Zach Miller (FA)","3","7","39","13.0","20","1","1","0","0","0","0","1","12.9","12.9","0.0%"
"14","Jason Witten (FA)","8","10","61","7.6","14","0","0","0","0","0","1","1","12.1","12.1","0.0%"
"15","Nick O'Leary (FA)","5","6","54","10.8","19","0","0","0","0","0","0","1","10.4","10.4","0.0%"
"16","Phillip Supernaw (FA)","2","2","16","8.0","11","0","1","0","0","0","0","1","9.6","9.6","0.0%"
"17","Trey Burton (FA)","2","2","16","8.0","15","0","1","0","0","0","0","1","9.6","9.6","0.0%"
"18","Stephen Anderson (ARI)","2","2","63","31.5","42","2","0","0","0","0","0","1","8.3","8.3","0.0%"
"19","Martellus Bennett (FA)","3","3","53","17.7","33","1","0","0","0","0","0","1","8.3","8.3","23.0%"
"20","Tyler Kroft (SF)","4","5","38","9.5","15","0","0","0","0","0","0","1","7.8","7.8","0.0%"
"21","Jonnu Smith (NE)","5","5","21","4.2","9","0","0","0","0","0","0","1","7.1","7.1","2.0%"
"22","Delanie Walker (FA)","3","5","25","8.3","12","0","0","0","0","0","0","1","5.5","5.5","0.0%"
"23","Jesse James (FA)","3","5","24","8.0","15","0","0","0","0","0","0","1","5.4","5.4","0.0%"
"24","Seth DeValve (FA)","3","4","24","8.0","17","0","0","0","0","0","0","1","5.4","5.4","0.0%"
"25","Charles Clay (FA)","2","3","31","15.5","24","1","0","0","0","0","0","1","5.1","5.1","0.0%"
"26","Demetrius Harris (FA)","3","3","21","7.0","11","0","0","0","0","0","0","1","5.1","5.1","0.0%"
"27","Brandon Williams (FA)","3","3","17","5.7","6","0","0","0","0","0","0","1","4.7","4.7","0.0%"
"28","Ross Travis (FA)","2","2","26","13.0","18","0","0","0","0","0","0","1","4.6","4.6","0.0%"
"29","Eric Tomlinson (DEN)","1","1","34","34.0","34","1","0","0","0","0","0","1","4.4","4.4","0.0%"
"30","Antonio Gates (FA)","2","3","23","11.5","12","0","0","0","0","0","0","1","4.3","4.3","0.0%"
"31","Ryan Griffin (CHI)","2","4","22","11.0","13","0","0","0","0","0","0","1","4.2","4.2","0.0%"
"32","Jermaine Gresham (FA)","2","2","16","8.0","14","0","0","0","0","0","0","1","3.6","3.6","0.0%"
"33","Jared Cook (FA)","3","6","25","8.3","17","0","0","0","0","0","1","1","3.5","3.5","1.0%"
"34","Lance Kendricks (FA)","1","1","24","24.0","24","1","0","0","0","0","0","1","3.4","3.4","0.0%"
