,snaps_Dallas Goedert,snaps_Dalton Schultz,snaps_Darren Waller,snaps_David Njoku,snaps_Evan Engram,snaps_George Kittle,snaps_Gerald Everett,snaps_Hunter Henry,snaps_Irv Smith Jr.,snaps_Mark Andrews,snaps_Mike Gesicki,snaps_Noah Fant,snaps_T.J. Hockenson,snaps_Travis Kelce,snaps_Tyler Higbee,snaps_Zach Ertz
9/7/2017,,,,29,47,54,29,23,,,,,,67,53,60
9/14/2017,,,,34.0,43.0,43.0,16.0,33.0,,,,,,51.0,41.0,60.0
9/21/2017,,,,30.0,57.0,37.0,11.0,41.0,,,,,,53.0,59.0,75.0
9/28/2017,,,,33.0,67.0,75.0,21.0,36.0,,,,,,71.0,47.0,60.0
10/5/2017,,,,35,57,40,26,59,,,,,,39,48,57
10/12/2017,,,,26,38,66,18,54,,,,,,52,45,49
10/19/2017,,,,28,47,31,18,47,,,,,,58,54,53
10/26/2017,,,,24,0,41,0,35,,,,,,58,0,64
11/2/2017,,,,0,58,33,15,0,,,,,,54,50,0
11/9/2017,,,,46,52,0,20,45,,,,,,0,54,0
11/16/2017,,,,21,58,0,19,44,,,,,,74,44,60
11/23/2017,,,,41.0,51.0,25.0,24.0,52.0,,,,,,56.0,48.0,65.0
11/30/2017,,,,34.0,53.0,27.0,18.0,50.0,,,,,,42.0,38.0,45.0
12/7/2017,,,,34.0,63.0,20.0,12.0,42.0,,,,,,69.0,35.0,0.0
12/14/2017,,,,31.0,73.0,28.0,6.0,38.0,,,,,,61.0,49.0,59.0
12/23/2017,,,,30.0,13.0,35.0,11.0,0.0,,,,,,68.0,53.0,55.0
12/31/2017,,,,24.0,0.0,36.0,33.0,0.0,,,,,,0.0,12.0,14.0
9/6/2018,17.0,2.0,0.0,78.0,64.0,50.0,5.0,,,22.0,21.0,,,56.0,60.0,70.0
9/13/2018,17.0,0.0,0.0,46.0,60.0,50.0,8.0,,,36.0,33.0,,,57.0,65.0,74.0
9/20/2018,55.0,0.0,0.0,62.0,13.0,54.0,21.0,,,27.0,28.0,,,71.0,58.0,81.0
9/27/2018,32,0,0,68,0,50,23,,,26,41,,,73,34,76
10/4/2018,34,0,0,72,0,87,16,,,33,30,,,66,53,57
10/11/2018,32,0,0,60,0,53,21,,,19,27,,,51,55,71
10/18/2018,37,19,0,57,52,53,22,,,26,16,,,60,42,65
10/25/2018,30,0,0,53,62,60,17,,,22,16,,,55,62,57
11/1/2018,0,24,0,55,0,33,18,,,27,27,,,60,42,0
11/8/2018,17,8,0,35,36,71,16,,,0,20,,,58,50,62
11/15/2018,16,11,0,0,17,0,23,,,25,0,,,72,59,47
11/22/2018,36,42,0,43,0,60,0,,,19,37,,,0,0,52
11/29/2018,39.0,40.0,0.0,46.0,0.0,67.0,24.0,,,32.0,22.0,,,69.0,47.0,59.0
12/6/2018,31.0,46.0,4.0,43.0,33.0,66.0,36.0,,,25.0,20.0,,,85.0,27.0,44.0
12/13/2018,39.0,31.0,9.0,56.0,45.0,59.0,34.0,,,29.0,25.0,,,60.0,42.0,59.0
12/22/2018,48.0,33.0,14.0,40.0,42.0,54.0,51.0,,,20.0,16.0,,,60.0,50.0,73.0
12/30/2018,43.0,44.0,15.0,57.0,51.0,61.0,45.0,,,27.0,21.0,,,40.0,43.0,53.0
9/5/2019,41.0,9.0,55.0,65.0,52.0,60.0,30.0,58.0,26.0,31.0,33.0,50.0,60.0,50.0,39.0,61.0
9/12/2019,0.0,3.0,59.0,10.0,53.0,47.0,48.0,0.0,27.0,42.0,35.0,54.0,47.0,64.0,23.0,80.0
9/19/2019,9.0,14.0,53.0,0.0,54.0,79.0,56.0,0.0,31.0,43.0,30.0,46.0,39.0,63.0,0.0,74.0
9/26/2019,43,2,58,0,56,0,50,0,29,30,26,40,41,66,38,47
10/3/2019,49,3,56,0,57,72,57,0,34,41,0,40,0,56,39,56
10/10/2019,45,6,0,0,0,64,28,41,38,37,44,39,31,53,30,51
10/17/2019,35,15,61,0,58,61,55,58,41,33,32,48,51,55,49,48
10/24/2019,55,0,53,0,65,54,29,39,46,0,37,60,41,59,33,66
10/31/2019,66,1,55,0,49,49,0,55,43,23,42,41,45,57,0,65
11/7/2019,0,2,56,0,0,0,52,61,52,23,39,0,47,78,25,0
11/14/2019,58,11,64,0,0,0,14,60,51,24,59,68,47,64,41,64
11/21/2019,65,7,52,0,0,38,17,0,0,31,57,36,33,0,36,64
11/28/2019,39.0,2.0,54.0,0.0,0.0,55.0,0.0,47.0,46.0,28.0,53.0,40.0,43.0,59.0,72.0,51.0
12/5/2019,60.0,3.0,60.0,20.0,0.0,59.0,0.0,36.0,51.0,9.0,50.0,29.0,0.0,76.0,66.0,78.0
12/12/2019,65.0,16.0,66.0,0.0,0.0,61.0,0.0,43.0,42.0,23.0,55.0,27.0,0.0,62.0,63.0,68.0
12/20/2019,66.0,6.0,51.0,0.0,0.0,55.0,4.0,53.0,33.0,39.0,58.0,41.0,0.0,61.0,62.0,59.0
12/27/2019,74.0,17.0,69.0,4.0,0.0,47.0,0.0,63.0,22.0,0.0,51.0,36.0,0.0,48.0,79.0,0.0
9/10/2020,54.0,50.0,56.0,17.0,64.0,61.0,24.0,59.0,31.0,42.0,46.0,43.0,50.0,61.0,65.0,59.0
9/17/2020,63.0,44.0,74.0,0.0,63.0,0.0,30.0,71.0,35.0,38.0,42.0,61.0,41.0,74.0,59.0,67.0
9/24/2020,6.0,55.0,56.0,0.0,44.0,0.0,28.0,69.0,36.0,44.0,30.0,53.0,54.0,61.0,50.0,84.0
10/1/2020,0,63,70,0,57,72,33,45,41,37,45,35,46,0,48,59
10/8/2020,0,58,64,21,55,64,30,67,59,43,30,0,0,65,56,56
10/15/2020,0,72,0,23,39,71,30,0,44,38,37,0,29,65,45,48
10/22/2020,0,46,59,31,50,60,0,62,0,0,0,54,44,40,0,0
10/29/2020,54,75,57,29,61,46,52,84,41,51,28,51,45,50,57,0
11/5/2020,0,70,45,0,58,0,0,78,22,38,43,57,57,57,0,0
11/12/2020,62,0,64,23,49,0,43,59,0,50,28,60,39,0,59,0
11/19/2020,68,60,55,34,0,0,41,75,33,56,43,49,37,69,52,0
11/26/2020,71.0,51.0,61.0,40.0,78.0,0.0,29.0,78.0,0.0,0.0,50.0,30.0,60.0,68.0,38.0,0.0
12/3/2020,52,71,74,30,40,0,60,41,0,0,49,54,53,57,69,27
12/10/2020,59.0,49.0,66.0,51.0,42.0,0.0,53.0,66.0,28.0,40.0,43.0,5.0,56.0,56.0,55.0,50.0
12/17/2020,74.0,51.0,69.0,31.0,43.0,0.0,27.0,59.0,56.0,34.0,0.0,44.0,52.0,78.0,49.0,63.0
12/24/2020,41.0,65.0,63.0,31.0,50.0,28.0,52.0,0.0,56.0,45.0,45.0,64.0,46.0,56.0,52.0,62.0
1/3/2021,0.0,81.0,60.0,49.0,44.0,41.0,49.0,0.0,63.0,42.0,64.0,73.0,39.0,0.0,60.0,61.0
9/9/2021,52.0,57.0,81.0,35.0,0.0,52.0,39.0,54.0,,55.0,21.0,51.0,78.0,55.0,52.0,41.0
9/16/2021,38.0,45.0,61.0,36.0,0.0,70.0,43.0,48.0,,57.0,47.0,53.0,53.0,44.0,59.0,37.0
9/23/2021,34.0,52.0,66.0,0.0,39.0,70.0,42.0,52.0,,46.0,55.0,58.0,53.0,69.0,49.0,30.0
9/30/2021,55.0,48.0,53.0,52.0,43.0,70.0,0.0,40.0,,46.0,36.0,57.0,58.0,59.0,54.0,37.0
10/7/2021,45.0,57.0,64.0,46.0,50.0,0.0,0.0,40.0,,56.0,42.0,58.0,55.0,75.0,56.0,40.0
10/14/2021,0,75,46,26,55,0,31,37,,37,49,72,52,67,66,46
10/21/2021,64,0,0,42,44,0,33,60,,50,60,45,55,53,65,35
10/28/2021,44,60,0,38,47,0,44,50,,0,67,41,47,74,46,43
11/4/2021,53,59,61,35,46,43,0,35,,77,59,0,0,56,76,56
11/11/2021,13,51,49,35,0,52,46,55,,57,56,44,67,58,54,45
11/18/2021,75,66,44,47,52,57,42,32,,58,51,0,42,59,0,63
11/25/2021,64,71,21,43,54,65,37,41,,55,59,53,37,0,62,0
12/2/2021,68,67,0,0,53,54,54,0,,50,46,58,61,44,63,41
12/9/2021,0,72,0,0,51,68,38,0,,65,0,50,0,49,0,65
12/16/2021,66.0,61.0,0.0,56.0,55.0,55.0,48.0,55.0,,56.0,45.0,60.0,0.0,56.0,0.0,67.0
12/23/2021,53.0,55.0,0.0,39.0,59.0,59.0,47.0,55.0,,47.0,49.0,38.0,0.0,0.0,64.0,63.0
1/2/2022,57.0,60.0,0.0,51.0,36.0,59.0,51.0,39.0,,58.0,47.0,53.0,0.0,48.0,56.0,70.0
