"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Cooper Kupp (LAR)","10","13","156","15.6","59","6","2","0","0","0","0","1","37.6","37.6","100.0%"
"2","Ja'Marr Chase (CIN)","8","10","201","25.1","82","7","1","0","0","0","0","1","34.1","34.1","100.0%"
"3","Mike Evans (TB)","6","10","76","12.7","46","3","3","0","0","0","0","1","31.6","31.6","100.0%"
"4","A.J. Brown (PHI)","8","9","133","16.6","46","5","1","0","0","0","0","1","27.3","27.3","99.0%"
"5","Terry McLaurin (WAS)","7","12","122","17.4","40","4","1","0","0","0","0","1","25.2","25.2","98.0%"
"6","Chris Godwin (TB)","8","11","111","13.9","34","3","1","0","0","0","0","1","25.1","25.1","88.0%"
"7","Deebo Samuel (SF)","7","11","100","14.3","29","2","1","0","0","0","1","1","21.0","21.0","100.0%"
"8","Michael Pittman Jr. (IND)","4","4","105","26.3","57","5","1","0","0","0","0","1","20.5","20.5","99.0%"
"9","Davante Adams (LV)","6","7","76","12.7","26","1","1","0","0","0","0","1","19.6","19.6","100.0%"
"10","Marquise Brown (ARI)","5","14","80","16.0","39","2","1","0","0","0","0","1","19.0","19.0","92.0%"
"11","DeAndre Hopkins (ARI)","7","9","53","7.6","15","0","1","0","0","0","0","1","18.3","18.3","83.0%"
"12","DK Metcalf (SEA)","2","5","96","48.0","84","4","1","0","0","0","0","1","17.6","17.6","96.0%"
"13","Kalif Raymond (DET)","6","8","115","19.2","37","3","0","1","1","0","0","1","17.6","17.6","0.0%"
"14","Allen Lazard (GB)","5","6","60","12.0","19","0","1","0","0","0","0","1","17.0","17.0","87.0%"
"15","Russell Gage (TB)","4","6","67","16.8","49","3","1","0","0","0","0","1","16.7","16.7","52.0%"
"16","Kendrick Bourne (NE)","4","4","68","17.0","46","3","0","0","0","0","0","1","15.8","15.8","6.0%"
"17","Dante Pettis (CHI)","5","5","39","7.8","27","1","1","0","0","0","0","1","15.5","15.5","0.0%"
"18","Jaylen Waddle (MIA)","7","8","83","11.9","19","0","0","0","0","0","0","1","15.3","15.3","97.0%"
"19","Christian Kirk (JAC)","4","5","50","12.5","19","0","1","0","0","0","0","1","15.0","15.0","83.0%"
"20","Robert Woods (TEN)","6","6","70","11.7","22","1","0","0","0","0","0","1","15.0","15.0","73.0%"
