,A.J. Brown,Adam Thielen,Allen Robinson II,Amari Cooper,Amon-Ra St. Brown,Brandin Cooks,Brandon Aiyuk,CeeDee Lamb,Chris Godwin,Christian Kirk,Cooper Kupp,Courtland Sutton,DJ Moore,DK Metcalf,Darnell Mooney,Davante Adams,DeAndre Hopkins,DeVonta Smith,Deebo Samuel,Diontae Johnson,Drake London,Elijah Moore,Gabriel Davis,Hunter Renfrow,Ja'Marr Chase,Jaylen Waddle,Jerry Jeudy,JuJu Smith-Schuster,Justin Jefferson,Keenan Allen,Marquise Brown,Michael Pittman Jr.,Michael Thomas,Mike Evans,Mike Williams,Rashod Bateman,Robert Woods,Stefon Diggs,Tee Higgins,Terry McLaurin,Tyler Lockett,Tyreek Hill
2017-09-07,,24.7,2.7,17.2,,11.8,,,,,17.6,,,,,7.7,18.5,,,,,,,,,,,0.0,,14.5,,,9.5,,,,8.3,27.7,,,1.8,26.8
2017-09-14,,7.4,,7.3,,6.3,,,0.0,,6.3,,,,,23.9,14.3,,,,,,,,,,,10.6,,19.0,,,13.9,22.3,,,1.8,5.1,,,12.4,8.9
2017-09-21,,14.8,,1.6,,32.1,,,7.4,,3.7,,,,,9.0,14.6,,,,,,,,,,,5.9,,11.1,,,21.7,13.7,,,16.8,37.3,,,5.0,20.0
2017-09-28,,8.9,,2.9,,7.2,,,0.0,,17.0,,,,,9.3,26.7,,,,,,,,,,,13.7,,18.8,,,22.9,17.7,,,3.7,14.8,,,13.1,8.5
2017-10-05,,9.5,,1.8,,13.5,,,1.8,,7.4,,,,,25.6,27.2,,,,,,,,,,,9.8,,10.7,,,,9.9,,,12.4,1.4,,,6.3,10.8
2017-10-12,,18.6,,7.8,,15.3,,,1.9,,5.5,,,,,16.4,9.9,,,,,,,,,,,6.2,,9.5,,,4.1,18.5,2.5,,10.0,,,,,7.5
2017-10-19,,9.1,,44.0,,16.5,,,1.5,,15.1,,,,,3.2,,,,,,,,,,,,11.9,,7.1,,,15.2,21.8,0.0,,11.3,,,,8.4,25.2
2017-10-26,,20.8,,10.2,,7.6,,,1.8,,,,,,,,36.4,,,,,,,,,,,32.3,,10.1,,,14.7,11.0,1.7,,,6.6,,,17.9,3.8
2017-11-02,,,,9.8,,,,,1.9,,8.4,,,,,12.3,20.6,,,,,,,,,,,,,,,,14.5,2.3,,,23.0,,,,3.0,15.3
2017-11-09,,30.6,,,,13.4,,,11.8,,10.7,,,,,20.0,18.1,,,,,,,,,,,20.7,,9.4,,,20.7,,4.4,,37.1,17.8,,,2.6,
2017-11-16,,24.3,,11.8,,26.9,,,5.8,,10.4,,,,,20.6,17.6,,,,,,,,,,,8.7,,40.2,,,15.1,14.2,8.8,,16.1,7.2,,,7.7,15.4
2017-11-23,,16.9,,7.9,,21.4,,,2.7,,19.6,,,,,19.2,19.5,,,,,,,,,,,,,34.2,,,10.2,13.8,0.0,,,12.5,,,0.2,12.4
2017-11-30,,9.1,,,,4.2,,,4.4,,11.8,,,,,8.2,16.0,,,,,,,,,,,5.7,,26.5,,,18.0,5.3,,,,5.7,,,9.7,36.5
